----------------------------------------
Begin Torque Prologue (Mon May  4 13:07:20 2020)
Job ID:           10847702.cc-mgmt1.campuscluster.illinois.edu
Username:         stv3
Group:            sp20-cs543r-eng
Job Name:         vanilla_script
Limits:           walltime=04:00:00,nodes=1:ppn=16:P100,neednodes=1:ppn=16:P100
Job Queue:        eng-instruction
Account:          eng-instruction
Nodes:            ccc0058
End Torque Prologue
----------------------------------------
/home/stv3/.conda/envs/cv/lib/python3.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='elementwise_mean' instead.
  warnings.warn(warning.format(ret))
2020-05-04 13:10:29,255 : Train time 00h 03m 02s Batch 208 CEloss 1.0256434679031372
2020-05-04 13:10:30,084 : Train time 00h 03m 03s Batch 209 CEloss 1.0095700025558472
2020-05-04 13:10:30,887 : Train time 00h 03m 03s Batch 210 CEloss 0.8936061859130859
2020-05-04 13:10:31,791 : Train time 00h 03m 04s Batch 211 CEloss 0.9375579953193665
2020-05-04 13:10:32,705 : Train time 00h 03m 05s Batch 212 CEloss 1.0806350708007812
2020-05-04 13:10:33,599 : Train time 00h 03m 06s Batch 213 CEloss 1.0312579870224
2020-05-04 13:10:34,526 : Train time 00h 03m 07s Batch 214 CEloss 1.0535951852798462
2020-05-04 13:10:35,422 : Train time 00h 03m 08s Batch 215 CEloss 0.8517588376998901
2020-05-04 13:10:36,375 : Train time 00h 03m 09s Batch 216 CEloss 1.2149853706359863
2020-05-04 13:10:37,294 : Train time 00h 03m 10s Batch 217 CEloss 0.8327415585517883
2020-05-04 13:10:38,136 : Train time 00h 03m 11s Batch 218 CEloss 1.17169988155365
2020-05-04 13:10:39,025 : Train time 00h 03m 11s Batch 219 CEloss 0.9783957004547119
2020-05-04 13:10:39,901 : Train time 00h 03m 12s Batch 220 CEloss 0.8304906487464905
2020-05-04 13:10:40,785 : Train time 00h 03m 13s Batch 221 CEloss 1.3143240213394165
2020-05-04 13:10:41,634 : Train time 00h 03m 14s Batch 222 CEloss 1.1626770496368408
2020-05-04 13:10:42,493 : Train time 00h 03m 15s Batch 223 CEloss 1.2173819541931152
2020-05-04 13:10:43,362 : Train time 00h 03m 16s Batch 224 CEloss 0.9420657753944397
2020-05-04 13:10:44,221 : Train time 00h 03m 17s Batch 225 CEloss 0.8526038527488708
2020-05-04 13:10:44,993 : Train time 00h 03m 17s Batch 226 CEloss 0.8166248202323914
2020-05-04 13:10:45,850 : Train time 00h 03m 18s Batch 227 CEloss 0.9449529647827148
2020-05-04 13:10:46,739 : Train time 00h 03m 19s Batch 228 CEloss 0.983005940914154
2020-05-04 13:10:47,603 : Train time 00h 03m 20s Batch 229 CEloss 1.0884182453155518
2020-05-04 13:10:48,461 : Train time 00h 03m 21s Batch 230 CEloss 0.9798193573951721
2020-05-04 13:10:49,276 : Train time 00h 03m 22s Batch 231 CEloss 1.078704833984375
2020-05-04 13:10:50,135 : Train time 00h 03m 23s Batch 232 CEloss 1.0565191507339478
2020-05-04 13:10:51,000 : Train time 00h 03m 23s Batch 233 CEloss 1.047529697418213
2020-05-04 13:10:51,874 : Train time 00h 03m 24s Batch 234 CEloss 0.8180764317512512
2020-05-04 13:10:52,726 : Train time 00h 03m 25s Batch 235 CEloss 0.9441769123077393
2020-05-04 13:10:53,611 : Train time 00h 03m 26s Batch 236 CEloss 0.882175087928772
2020-05-04 13:10:54,472 : Train time 00h 03m 27s Batch 237 CEloss 1.3482531309127808
2020-05-04 13:10:55,376 : Train time 00h 03m 28s Batch 238 CEloss 1.0704392194747925
